127.0.0.1 - - [30/Nov/2015:17:18:05 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:17 +0530] "GET /MusicEra/ HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:18 +0530] "GET /MusicEra/engine1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:18 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 6980
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:18 +0530] "GET /MusicEra/engine1/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:18 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:19 +0530] "GET /MusicEra/data1/images/1398583043_shutterstock_54555799.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:19 +0530] "GET /MusicEra/data1/images/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:19 +0530] "GET /MusicEra/data1/images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:19 +0530] "GET /MusicEra/data1/tooltips/1398583043_shutterstock_54555799.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:20 +0530] "GET /MusicEra/data1/tooltips/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:20 +0530] "GET /MusicEra/data1/tooltips/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:20 +0530] "GET /MusicEra/engine1/wowslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:20 +0530] "GET /MusicEra/engine1/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:27 +0530] "GET /MusicEra/engine1/ws-ctrl-animated.eot HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:47 +0530] "GET /MusicEra/ HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:49 +0530] "GET /MusicEra/engine1/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:49 +0530] "GET /MusicEra/engine1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:49 +0530] "GET /MusicEra/engine1/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:49 +0530] "GET /MusicEra/engine1/wowslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:49 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:49 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:52 +0530] "GET /MusicEra/data1/images/1398583043_shutterstock_54555799.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:52 +0530] "GET /MusicEra/data1/images/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:52 +0530] "GET /MusicEra/data1/images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:52 +0530] "GET /MusicEra/data1/tooltips/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:52 +0530] "GET /MusicEra/data1/tooltips/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:18:52 +0530] "GET /MusicEra/data1/tooltips/1398583043_shutterstock_54555799.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:19:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:19:10 +0530] "GET /MusicEra/Songs.jsp HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:19:10 +0530] "GET /MusicEra/Images/find.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:19:11 +0530] "GET /MusicEra/Images/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:19:21 +0530] "GET /MusicEra/List.jsp?album=Chennai%20Express HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:20:34 +0530] "GET /MusicEra/Play.jsp?title=Tera%20Rastaa%20Chhodoon%20Na HTTP/1.1" 200 6275901
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:28:47 +0530] "GET /MusicEra/List.jsp?album=Madras%20Cafe HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:29:34 +0530] "GET /MusicEra/Music.jsp HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:32:42 +0530] "GET /MusicEra/Songs.jsp HTTP/1.1" 200 2269
0:0:0:0:0:0:0:1 - - [30/Nov/2015:17:32:48 +0530] "GET /MusicEra/List.jsp?album=Chennai%20Express HTTP/1.1" 200 2296
