0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:24:22 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:25:00 +0530] "GET /MusicEra/ HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:25:00 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:25:00 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:25:00 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:25:19 +0530] "GET /MusicEra/ HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:25:19 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:25:19 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:25:19 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:28:36 +0530] "GET /MusicEra/ HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:28:36 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:28:36 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:28:36 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:35:26 +0530] "GET /MusicEra/ HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:35:26 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:35:26 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:35:26 +0530] "GET /MusicEra/Images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:14:36:13 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
