127.0.0.1 - - [29/Oct/2015:08:43:19 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Oct/2015:08:43:30 +0530] "GET /Appoinment/ HTTP/1.1" 200 3882
0:0:0:0:0:0:0:1 - - [29/Oct/2015:08:43:30 +0530] "GET /Appoinment/Images/unnamed.png HTTP/1.1" 200 125747
0:0:0:0:0:0:0:1 - - [29/Oct/2015:08:43:31 +0530] "GET /Appoinment/CSS/header.css HTTP/1.1" 200 2751
0:0:0:0:0:0:0:1 - - [29/Oct/2015:08:43:32 +0530] "GET /Appoinment/Images/doctor.jpg HTTP/1.1" 200 71713
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:10:57 +0530] "GET /Appoinment/ HTTP/1.1" 200 3830
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:10:57 +0530] "GET /Appoinment/Images/unnamed.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:10:57 +0530] "GET /Appoinment/CSS/header.css HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:10:58 +0530] "GET /Appoinment/CSS/Images/Doctor.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:10:59 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:11:06 +0530] "GET /Appoinment/ HTTP/1.1" 200 3830
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:11:06 +0530] "GET /Appoinment/CSS/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:11:06 +0530] "GET /Appoinment/Images/unnamed.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:11:24 +0530] "GET /Appoinment/CSS/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:11:40 +0530] "GET /Appoinment/CSS/Images/Doctor.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:12:45 +0530] "GET /Appoinment/ HTTP/1.1" 200 3882
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:12:45 +0530] "GET /Appoinment/Images/unnamed.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:09:12:45 +0530] "GET /Appoinment/CSS/header.css HTTP/1.1" 200 2754
